full_text,compound,polarity
@chicohakim @RatnaSpaet Mereka berhasil 1. Membuat panggung sendiri setelah beberapa saat merasa ga kebagian slot krn berita gempa Palu 2. Menggiring opini bahwa Polri tdk bisa dipercaya (tdk lapor krn trauma katanya) 3. Narasi menjadi korban padahal sebaliknya merekalah dalangnya Ada yg bisa namabahin?,-5,negative
@fadlizon Bang @fadlizon masa gak tau sih ke napa pemerintah tdk mau menetapkan status bencana nasional di gempa Lombok dan Palu. Sbb BENCANA NASIONAL sesungguhnya sdh di tetapkan sejak Oktober 2014 dimana saat itu orang planga-plongo dilantik jadi pemimpin berdasar pilpres yg curang,-12,negative
Balikpapan Ditetapkan sebagai Daerah Penanggulangan Gempa dan Tsunami di Palu - Tribun Kaltim https://t.co/6ouy1dKkiZ,-3,negative
tribun_video: 'Saya Boleh Ikut Tidak?' Tanya Bocah yang Ibunya Meninggal karena Gempa Palu kepada Presiden Jokowi https://t.co/TDOrD5nXTq,-8,negative
Kerusakan parah juga terjadi di Kampung Wani 2 Kecamatan Tanatopea Kabupaten Donggala Sulawesi Tengah akibat gempa Donggala dan tsunami Palu Sulawesi Tengah pada Jumat (28/9/2018). https://t.co/yaFPTajrek,-3,negative
Stasiun pengamatan pasut BIG di Pelabuhan Pantoloan Palu ternyata tidak rusak dan masih bisa beroperasi. Jadi terhentinya aliran data saat gempa diakibatkan karena rusak/terganggu nya jaringan komunikasi saat tersebut. https://t.co/S9n6aaXTyp,-11,negative
Fitria yang sudah 10 bulan menetap di Kota Palu untuk mengikuti suaminya tidak menyangka ikut merasakan dahsyatnya gempa Sulawesi Tengah. https://t.co/8L5Zt0vRTW,-3,negative
Penanganan Bencana Gempa Palu yang Dirumitkan Aksi Penjarahan https://t.co/8M4r3X90Cw,-5,negative
Yg pnya point di tokped atau cashback yg g https://t.co/Has66Wkidh di sumbangkan ke korban gempa bumi palu tuh lumahan tuk meringakan beban saudar2 qta di sana,-5,negative
Semua mata dan perhatian kita sedang tertuju pada musibah gempa dan tsunami di palu eh ini si nenek sibuk buat hoax dan tolol nya lagi si kardus percaya aja tuh dasar bintang kardus.....,-13,negative
Terima kasih Pak @jokowi atas pengertiannya Utk membantu korban gempa Palu dan Donggala pemerintah telah menyiapkan 30 helikopter hingga kapal pesiar. Begitu istimewanya lintah darat bagi rezim jkw shg penyambutannya luar biasa #2019GantiPresiden https://t.co/TAlohfU6bK,-11,negative
@GusIpul_ID Yung Allah Gus suwe ora metu metu pisan nylathu. Ada gempa Lombok dan Palu membisu paling malah mbatin Sing Kuoso mbales no loro ati ku. ,-2,negative
 Tega banget kalian ketawa terhadap perempuan tua yang dihajar sampai bonyok begitu Then Tega banget kalian memakai isu hoax sampah murahan di tengah kondisi rakyat Palu dan Donggala yang sedang menderita karena gempa dan tsunami ,-21,negative
#repost : @explorehumanity.id Drone Footage Video aerial kerusakan akibat dampak gempa dan tsunami Palu. Tampak pula kerusakan jembatan yang menjadi ikon kota Palu jembatan Ponulele di muara sungai. Masih banyak... https://t.co/3a22ffzACJ,-11,negative
Order CAN (Calligraphy of Arabic Can) berarti sudah berdonasi untuk Korban Gempa dan Tsunami di DONGGALA &amp; PALU. Cukup bayar 75% dari Harga Aslinya. Sisanya 25% di donasikan ke PALU &amp; https://t.co/ivIkasbSpq,-3,negative
Peduli Sulawesi Tengah Gempa &amp; Tsunami Palu Puluhan ribu kehilangan tempat tinggal dan mengungsi . Salurkan kepedulian Anda melalui rekening kemanusiaan https://t.co/sXLLPUIFNg,-8,negative
I liked a @YouTube video https://t.co/3wQ5jKC7WL Kesaksian Pilot Batik Air Lolos dari Gempa &amp; Tsunami Palu,-3,negative
Anthonius Gunawan Agung: Disebut 'pahlawan nasional' oleh pilot Batik Air yang pesawatnya diselamatkan: Pesawat Batik Air yang dikemudikan oleh pilot Ricosetta Mafella selamat dari gempa bumi dan tsunami di Palu karena aksi petugas pengawas lalu lintas https://t.co/nKYDMHWgqm,-5,negative
Info Menarik Terbaru Tentang (BREAKING NEWS - 175 Pengungsi Gempa Palu dan Donggala Tiba di Juanda Ada yang ...) - https://t.co/bOMXTv8NTD https://t.co/ViX5Z41VCp,-5,negative
@KompasTV Kalo lihat keluhan beberapa pengungsi korban gempa palu dan sekitarnya penanganan seolah tidak merata.. Sebaiknya ada instansi yg menjawab soal ini,-7,negative
Waktu zaman kecil dulu zaman majalah Bobo yg ditunggu2 seminggu sekali si Bobo heboh banget bikin Opera Si Nyamuk. Kalau sekarang kayaknya ada drama baru yang nutupin kehebohan gempa Palu: Opera Si Plastik,-14,negative
Inilah daftar Fasilitas Kesehatan untuk penanganan korban gempa dan tsunami di Kota Palu dan Kabupaten Donggala. via @KemenkesRI #KomisiAndaElshinta https://t.co/o6pntQMRnL,-1,negative
Info Menarik Terbaru Tentang (Setelah Gempa 47 8 Hektar Wilayah Palu Amblas Lebih dari 5000 Bangunan Rusak) - https://t.co/E8OutS8Ubs https://t.co/SSd6luZuvN,-3,negative
Bantu Warga Palu Ini yang Dilakukan Elce Blod Id dan PMI https://t.co/NmBGGvv6Kg GORONTALO - Gerakan donasi untuk korban gempa dan tsunami Palu dan Donggala Sulawesi #Bencana_Alam #Palu_Donggala #Tsunami diterbitkan oleh : Van Robin https://t.co/tF4QYZHyQg,-5,negative
Video ini bukan erupsi Gunung Soputan! #KomisiAndaElshinta hoax tentang gempa dan tsunami di Palu-Donggala https://t.co/iFz1C3PsZE,-5,negative
10 Potret Memilukan Dahsyatnya Gempa Bumi di Kampung Petobo Palu yang Disebut 'Tertelan Bumi' https://t.co/say2r12SpR,-5,negative
Bahkan gempa Palu yg memilukan yg tak kalah memilukan dr Lombok...serasa kok seperti hoax saja. Karena berita di luar negeri menyatakan Dead Toll tapi di negeri ini...seakan bencana yg biasa2 saja....aku tak tahu juga...siapa tahu hoax...,-15,negative
Rapat Penggalangan Dana Untuk Korban gempa Palu yang Prakarsai oleh IPNU-IPPNU DAN IPM RANTING SUMURAN Mari Sisihkan Rizqi Kita Untuk Saudara-Saudara Kita di Palu dan https://t.co/0aCOFkcA12,-1,negative
Tiap pagi denger berita di Radio yg memberitai soal gempa Palu ini suka bikin emosi.. yg dibahas gempa Sulawesi as 1 pulau kena semua padahal kaga ,-6,negative
for INDONESIA ARMY ( INA ARMY ) also can do donate at this link . Data sementara 1.234 orang meninggal akibat gempa 7 4 SR yang mengguncang Donggala dan menyebabkan Tsunami di Palu Sulawesi Tengah.. Bantu donasi dengan klik https://t.co/85cmu8obn7,-11,negative
Setuju banget sama perkataan ini.. Berita gempa di Palu jadi tergeser oleh berita emak emak yang lagi heboh operasi plastik ,-6,negative
Gempa Sulteng UNS kirim tim tanggap bencana ke Palu https://t.co/vjQFRuKpUq,-4,negative
Info Menarik Terbaru Tentang (Kisah Dramatis Pasutri Mojokerto Selamat dari Gempa Tsunami Palu Hingga Bisa ...) - https://t.co/Zprv95qFdO https://t.co/Lp8pbDbMyr,-3,negative
I liked a @YouTube video https://t.co/FRWZOoIZXL KESAKSIAN PILOT BATIK AIR yang menerbangakan ID6231 SELAMAT DARI GEMPA PALU CAPTAIN,-5,negative
Makna apa di balik berbagai peristiwa... Gempa dan tsunami palu sigi dan donggala jumat 28 september 2018. Meninggalkan duka yg mendalam Semoga para korban diberi ketabahan yg meninggal diampuni kesalahannya dan di terima pada tempat yg layak Mari semua kita kita membantu...,-17,negative
@antaranews Gempa palu seminggu juga selesai antara hoax dan khayalan,-3,negative
Info Menarik Terbaru Tentang (Kisah Korban Gempa Palu yang Tiba di Juanda Rabu Malam: Mardi Butuh ...) - https://t.co/OUW5Zz9hZU https://t.co/4iPxMUmz1V,-5,negative
Yuk kita bantu saudara2 kita yang terkena bencana gempa tsunami dan lumpur di Palu dan Donggala mereka mebutuhken uluran tangan kita ingat mereka saudara kita saudara seagama sebangsa #PrayForPalu #PrayForDonggala #PrayforSulteng https://t.co/BrB88WBUvy,-4,negative
Info Menarik Terbaru Tentang (Update Terakhir Gempa dan Tsunami Palu: Korban Jiwa Capai 1.400 yang Masih ...) - https://t.co/cEyu6afGVF https://t.co/biiAiwTBDn,-5,negative
Mari kita ringankan Duka Saudara Kita yang terkena bencana Gempa Tsunami Palu Donggala berapapun bantuan kita sangat berarti bagi Saudara kita yang terkena musibah... Donasi Bapak Ibu Hamba Allah dapat disalurkan di link dibawah ini : https://t.co/533kPIXfqW ,-18,negative
Pertama kali saya liat foto ini beredar di sosmed saya pikir korban gempa di Palu yang tertimpa reruntuhan bangunan restoran padang. Eh rupa rupanya kau berbahaya bisa bisanya aku terlena kamu seperti ular seperti ular... #KoalisiPlastik #WajahmuPlastik https://t.co/UFEu7INvYf https://t.co/aLd5LQAUXj,-12,negative
@FirzaHussein Gempa di palu tapi dada sarumpet rata hingga ke perut ngga ada sedikitpun tonjolan dasar nenek lampir,-1,negative
Kalian sibuk urus hoax Pak Jokowi sibuk menenangkan &amp; mengatasi masalah masyarakat korban Gempa &amp; Tsunami Palu dsk. #WajahmuPlastik,-8,negative
@saididu @rudiantara_id Siaran Pers @kemkominfo No. 253/HM/KOMINFO/10/2018 Point 5. Hoax potoh gerak cepat relawan FPI evakuasi korban gempa Palu. Konfirmasi dari Sutopo Purwo Nugroho (Kepala Humas BNPB) SIAPAH YANG HOAX??? FPI ato KOMINFO??? https://t.co/cLjIpjRiTR,-3,negative
Cerita Warga Toraja di Palu yang Selamat dari Gempa: https://t.co/71eFdQTWWt via @YouTube,-8,negative
Momen Mengharukan saat Anak Kecil Korban Gempa Tsunami Palu Minta Ikut Naik Mobil Jokowi. https://t.co/1Wuw35x60V lewat @tribunmedan,-3,negative
KISAH PENGUNGSI DARI PALU: Jualan Roti Sejak 2008 mampu Bangun Rumah Ambruk Digoyang Gempa https://t.co/kNga9eRarz,-2,negative
Diawal 2018 Roy Kiyoshi Menyebut tentang Gempa dan Tsunami di Palu: Saya Melihat akan Ada Air Besar https://t.co/75hVCuTN1p,-1,negative
Gempa bumi dan tsunami meluluhlantak-kan Palu. Kebohongan dan hoax meluluhlantak-lan perjuangan P-S dkk #GotongRoyong #BangunKembali,-5,negative
Perlu Sadar Mitigasi https://t.co/Z2UhQIKqAU ACTNews JAKARTA - Jumat (28/9) petang Donggala dan Palu diguncang gempa. Bermagnitudo 7 4 SR getaran bumi hingga menyebabkan ,-2,negative
Inilah Daftar Berita HOAX Seputar Gempa di Palu yang di lakukan oleh oknum tak bertanggung jawab: https://t.co/qbE8rnYC38 via,-5,negative
Halo teman-teman wannable oniel_id punya kang daniel early birthday project buka donasi buat saudara kita yang terkena gempa dan tsunami di palu dan dan donggala jumlah nominal donasi yang terkumpul akan kami sumbangkan atas nama kang #wannaone #KangDaniel cp @ShielaOfficial https://t.co/jJMRVeiQq7,-2,negative
@null Cerita Wita Korban Gempa Palu yang Kelaparan 3 Hari di Bandara Gempa dan tsunam https://t.co/XuKbnKgJuQ,-5,negative
@null Cerita Wita Korban Gempa Palu yang Kelaparan 3 Hari di Bandara Gempa dan tsunam https://t.co/4vFIfOA6A6,-5,negative
@null Cerita Wita Korban Gempa Palu yang Kelaparan 3 Hari di Bandara Gempa dan tsunam https://t.co/4xT4HBgHp8,-5,negative
@null Cerita Wita Korban Gempa Palu yang Kelaparan 3 Hari di Bandara Gempa dan tsunam https://t.co/CbAdj12JpU,-5,negative
@null Cerita Wita Korban Gempa Palu yang Kelaparan 3 Hari di Bandara Gempa dan tsunam https://t.co/qaV4o8QQOy,-5,negative
@null Cerita Wita Korban Gempa Palu yang Kelaparan 3 Hari di Bandara Gempa dan tsunam https://t.co/EtryZgmOHL,-5,negative
@null Cerita Wita Korban Gempa Palu yang Kelaparan 3 Hari di Bandara Gempa dan tsunam https://t.co/ys3tjWLeHl,-5,negative
Keji sekali oposisi ini rasanya jijik malah. Ada saudara kita di Palu sana mereka menangis berduka kehilangan saudara krisis kebutuhan sehari hari pasca gempa dan tsunami. Malah membuat gaduh negeri ini. Apa mereka prihatin benar2 dengan saudara kita disana?,-19,negative
@hanumrais @cumarachel Mba disaat negeri lagi berduka Karena gempa di palu mba dan golongannya malah nyebar hoax dimana hati nuraninya?,-9,negative
Warga terdampak gempa di Lombok Utara merasakan betul penderitaan yang dialami warga Palu dan Donggala di Sulawesi Tengah (Sulteng). Alasan tersebut yang menjadi dasar bagi para warga https://t.co/oIcvpiIM8g,-13,negative
sudahlah pemberitaan ttg hoax cukup temen2 di Palu lagi berduka itu sih yg penting liat temen yg kena dampak gempa posting instastory ttg keadaan disana aja masih ga kebayang seberapa susah nya disana,-27,negative
yaAllah sedih bgt kl denger/baca cerita2 korban gempa palu,-5,negative
@null Cerita Wita Korban Gempa Palu yang Kelaparan 3 Hari di Bandara Gempa dan tsunam https://t.co/WnG5eGfonC,-5,negative
@sayutiandy @meigui_hikaru @LawanPoLitikJW @RatnaSpaet @shiwie6 @hanumrais Ini apa sih @sayutiandy pak jokowi lagi sibuk buat rakyat yg ada di palu. Maaf ya ga urus ratna yg bikin gaduh semua rakyat. Miris lagi ada musibah gempa juga kalian kaga mikir kata nya waras.,-5,negative
@voaindonesia Ini orang maksudnya apa kenapa maunya apa terus dibayar siapa ? Koq sadis amat bikin hoax nya mengalahkan berita gempa palu. Mohon tangkap dia pejarakan,-22,negative
@jokowi Pak Joko w adalah pemimpin yang hebat cepat dan tanggap dalam menangani bencana gempa dan sunami di Palu Sigi dan Donggala salut sekali pak Joko w presiden yang kerja keras demi rakyatnya,-1,negative
ANAK KORBAN GEMPA INGIN IKUT JOKOWI Sabar ya Nak... Semoga segera dipertemukan dengan keluarga. Bapak Joko Widodo seorang Presiden yang sekali lagi datang ke Palu meninggalkan kesan https://t.co/OCQvog2TNk,-13,negative
Menyebarkan kabar bohong saja bisa kena pasal penjara apalagi yang membuatnya. Jika gempa Palu meluluhlantakan tanah &amp; bangunan fisik sedangkan kabar hoax RS telah menggoyang &amp; meledakan kewarasan akal sehat pemburu kekuasaan di tingkat elit utama,-31,negative
@Arie_Kriting @alvindofelanita Udah jgn bikin api baru jokowi di palu sudah seharusnya sebagai kepala negara prabowo meski tidak disana sudah bilang stop kampanye demi bahu membahu bantu korban gempa. Kita ribut terus eweh kabosen anjing !,-12,negative
Pasca-gempa yang mengguncang Palu dan Donggala Kementerian PUPR menyiapkan belasan alat berat untuk mempercepat proses evakuasi.Selain itu penyediaan air bersih juga menjadi prioritas https://t.co/gqPqOdWmIw,-6,negative
@null Bamsoet: Siapa pun Jadikan Gempa Palu Komoditas Politik Tak Layak Berada di Ind https://t.co/BWLV0Afpev,-3,negative
@null Bamsoet: Siapa pun Jadikan Gempa Palu Komoditas Politik Tak Layak Berada di Ind https://t.co/ymPeMS9EiP,-3,negative
#Repost polda_sulsel kepolisian daerah sulawesi selatan mengucapkan turut berduka cita atas bencana gempa dan tsunami yang menimpa saudara-saudara kita yang di Palu &amp; https://t.co/0CeGGCk1du,-23,negative
kepolisian daerah sulawesi selatan mengucapkan turut berduka cita atas bencana gempa dan tsunami yang menimpa saudara-saudara kita yang di Palu &amp; donggala semoga di beri kekuatan &amp; https://t.co/ebreTclSTt,-20,negative
Sedih rasanya tiap baca berita korban gempa di palu namba teruss :(( Banyak banget orang yang lebih besar cobaannya dibandingin aku yg dikit2 sukak sambat.,-2,negative
 Kang Daniel early birthday project buka donasi buat saudara kita yang terkena gempa dan tsunami di palu dan donggala jumlah nominal donasi yang terkumpul akan kami sumbangkan atas nama kang daniel berapa pun sumbangan kalian sangat berarti buat mereka. Terimakasih #KangDaniel https://t.co/QfWjcz2bqn,-8,negative
Info Menarik Terbaru Tentang (Kisah Korban Gempa Palu Asal Jatim yang Selamat Pilih Ngungsi ke Hutan &amp; Mau ...) - https://t.co/bJOxnPrCZ0 https://t.co/u0xUHBtSDi,-5,negative
Turut berduka yg mendalam atas musibah gempa bumi &amp; tsunami yg menimpa saudara2 kita di Palu &amp; Donggala Prov. Sulteng. Semoga diberi ketabahan kekuatan &amp; kesabaran atas ujian &amp; cobaan ini.,-13,negative
@sugienik01 @jawapos @Dahnilanzar Setelah bencana gempa Palu terjadi chaos karena diurus amatiran mukidi gagal total dlm penanggulangan bencana dollar 15rb lagi gagal dlm menstabilkan rupiah utang naik terus gagal dalam mengelola keuangan.. ooo laadalahhhh..,-19,negative
Curhat Bupati Cantik Luwu Utara Anak Buahnya jadi Korban Gempa Palu https://t.co/cycT2lp0ZL,-1,negative
@ridwankamil Kang Klw kesana sampaikan salam saya ... Getaran gempa di palu sampai ke hati saya ..,-4,negative
Subhanallah.. salut dan sangat bangga buat Garuda Indonesia dan Pelita Air atas kepeduliannya terhadap korban gempa dan tsunami Palu. Semoga maskapai lain ikut berpartisipasi.,-6,negative
Info Menarik Terbaru Tentang (Curhat Bupati Cantik Luwu Utara Anak Buahnya jadi Korban Gempa Palu) - https://t.co/YMw7bPlWGw https://t.co/3bflDLaVRx,-1,negative
Untuk yg belum baca: laporan @arbysoemandoyo yang menuturkan 5 korban selamat dari gempa dan tsunami Palu yang disatukan kengerian dan keberuntungan pada Jumat sore itu.. https://t.co/Vlf3Pg4ssf https://t.co/HDZaWdnlQZ,-10,negative
Smoga Gempa PALU jilid2 akan datang ke RS dkk. Yg tlah menang Dlm Kategori Hoax Stuntman.. PenampakanDajjalTlahTiba #ratnasarumpaet,-5,negative
Tangsel Galang Bantuan Korban Gempa Palu dari Warganya https://t.co/2xQ88sWX1Z,-3,negative
Yang lain sibuk membantu korban bencana gempa &amp; tsunami Palu ada yang sibuk persiapan IMF Annual Meeting dan persiapan Asian Para Games. Eh..yg ini sibuk bikin dramak Gara2 oplas aku digebuki dan yeeeyy.. juarraaaaakk !! #WajahmuPlastik naik panggung.,-4,negative
@ronavioleta Pernah rasain gempa g atau pernah rasain kejadian kaya di palu dan donggala mba??,-1,negative
@NurSyahbana9 Tidak adil...!!!!! krn mereka sdh membakar amarah org banyak utk membuat ribut..ditengah duka Bangsa ini oleh Gempa di Palu sekitarnya,-9,negative
Terharu Bocah Ini Korban Gempa Palu Ingin Ikut Jokowi https://t.co/01GzlAd2Ts lewat @rayapos,-3,negative
Semoga Kota Palu dan sekitar yang terkena dampak gempa dan tsunami bisa cepat pulih korban meninggal khusnul khatimah akse Amin ya Allah. Jujur aja kalo udh ngomongin Palu saya bingung mau respon gmana. Intinya Tuhan punya kuasa kita manusia lak https://t.co/OjOaWVp91p,-1,negative
Rabu 3 Oktober 2018 relawan Tzu Chi memberikan perhatian dan santunan dukacita kepada 37 korban gempa Palu yang dirawat di RS Dr. Wahidin Sudirohusodo Makassar Sulawesi Selatan. Santunan dukacita diberikan... https://t.co/iHq4jfFR75,-6,negative
Kisah Korban Gempa Palu Asal Jatim yang Selamat Pilih Ngungsi ke Hutan https://t.co/db6oKbOeWE,-5,negative
Potret kondisi Palu dimata korban gempa: Sekarang siapa kuat dia menang. https://t.co/iwsM5mKzZB,-9,negative
Calon nomor 1 ribet ngurusin korban gempa dan tsunami di Palu calon nomor 2 ribet ngurusin 1 nenek nenek tua yang habis di operasi plastik #ratnasarumpaet #RatnaBohongiPublik #prabowongapain,-12,negative
Rapatnya lalu lintas informasi membuat gempa palu jadi salah satu informasi kecil bersandingan dengan informasi drama kebohongan seorang ibu. . Waktu informasi cuma ada lewat tv dan koran fokus ke satu informasi rasanya jauuuh lebih mudah.,-8,negative
Hercules TNI AU Evakuasi korban Gempa Palu Sulteng🇮🇩 https://t.co/E2SSHjbneE,-4,negative
Lihat info apa yang saya bagikan: BUKAN HOAX! Jurnalis Media Inggris Kate Lamb: FPI Beri Bantuan untuk Korban Gempa Palu 2019GantiPresident @MIUI | https://t.co/oq6I0ljGqY,-14,negative
Hari ini saya kembali kumpulkan para kepala OPD utamanya yang terkait untuk membahas persiapan pemberangkatan tim bantuan kemanusiaan Pemprov Kaltara kepada korban gempa Palu-Donggala https://t.co/8yllAxzTkH,-10,negative
Cerita Aktor Ray Sahetapy yang Tak Kuat Teringat Kampung Halaman Karena Gempa Palu-Donggala https://t.co/4RqDrArhOr,-5,negative
@mohmahfudmd Perduli itu sama korban gempa tsunami di palu jangan sama orang yang abis oprasi plastik,-5,negative
@bibibcabul @PartaiSocmed @RyanPenggemar @prabowo Ngga sob publik lg berduka atas gempa palu dan donggala,-3,negative
Kisah Keluarga Asal Mojokerto yang Selamat Saat Gempa Dahsyat di Palu https://t.co/ApanZUUEJB,-5,negative
