full_text,label,compound,polarity
Bergerak cepat dalam pencarian Korban bencana alam Gempa dan Tsunami di Sulteng Prajurit Raider 700/WYC bersama Tim Basarnas membongkar puing puing reruntuhan gedung untuk mencari kemungkinan korban selamat akibat bencana. Palu Rabu (03/10). https://t.co/OEmJG81OF0,1.0,-7,negative
*SIARAN PERS KEMENTERIAN SOSIAL* _Update Penanganan Bencana Gempa Bumi dan Tsunami Palu-Donggala_ _Per Tanggal 3 Oktober 07.00 WIB_ *POSKO UTAMA* Kantor Dinas Sosial Provinsi Sulawesi Tengah *DAPUR UMUM* 1.... https://t.co/4l4VCDjHKF,1.0,0,neutral
Polri-TNI Kirim Logistik 20 Truk untuk Korban Gempa Palu dan Donggala https://t.co/nnh4CqQIe2,1.0,0,neutral
Saya Boleh Ikut Tidak ? Bocah Korban Gempa Palu Mama Sudah Tiada tapi Saya Tak Boleh Nangis Kagak Kuat https://t.co/hp1BGnj2hR,1.0,0,neutral
Curahan Hati Anak Korban Gempa Palu Usai Bertemu Jokowi 'Mama Sudah Di Atas Sekali Sudah di Surga' https://t.co/Mm4Unsc5xw,1.0,0,neutral
Terlalu banyak pelajaran hidup dari kisah gempa Palu.. https://t.co/xTQgL65DqF,1.0,1,positive
Palu tangkap pembobol dan penjarah ATM pasca gempa. #polsekkroya #poldajateng #polrescilacap https://t.co/azs3g46WME,2.0,-3,negative
Pengungsi Gempa Palu dan Donggala Mulai Terserang Flu dan Diare https://t.co/LblbvGXdpA,2.0,0,neutral
Alfionita saat terjadi gempa di Palu tengah menggendong sambil menyusui sang anak yang masih berumur 12 hari. https://t.co/FHxSUnCDA7,1.0,-1,negative
Efek gempa palu kelangkaan BBM juga di berdampak di kabupaten Morowali harga per liternya 50rb @pertamina,2.0,7,positive
Sebagian pengungsi gempa Palu tiba di Jawa Timur https://t.co/0JBJMLbZkJ,1.0,4,positive
Penanganan pasca gempa &amp; tsunami di palu donggala &amp; sigi oleh semua unsur berjalan baik. Tetap semangat. Ayoo ulurkan tangan guna meringankan beban para korban,1.0,-3,negative
Dan terjadi lagi penjarahan sumbangan untuk sesama korban gempa. #cemilcomel #gempa #gempapalu https://t.co/FLDsQgJBBZ,2.0,-4,negative
@null Cerita Haru Jokowi Temui Bocah Pemberani Korban Gempa Palu Ada sepenggal momen h https://t.co/ExjkZg8fAB,1.0,0,neutral
Doa dan Bantuan untuk Korban Gempa - Tsunami Palu Sigi Donggala Sulawesi Tengah https://t.co/omP0WV682G,1.0,0,neutral
Tiga bocah terpisah dengan orangtuanya pasca gempa 7 4 SR di Palu. Yusman Nadia dan Asep adalah tiga bersaudara yang menunggu kabar orangtuanya. https://t.co/i8URU6qMPt,2.0,-10,negative
Sebagian pengungsi gempa Palu tiba di Jawa Timur https://t.co/3nWYkgIq3f,1.0,4,positive
#RKBPagi Kamis 4 Oktober 2018 Diantaranya : 1.SAR Pekalongan Rescue Bantu Korban Gempa Palu 2.DPRD Siap Perjuangkan Aspirasi Honorer K2 3.UPTD Metrologi Kota Pekalongan Berkembang Cukup Baik,1.0,0,neutral
@ipuulalam @ghozie99 @Hilmi28 Jadi benar fotonya hoax karena bukan/tidak menggambarkan kejadian gempa di palu?,2.0,-5,negative
2. Kaum #KoalisiPlastik itu justru membuat narasi baru untuk menyerang Jokowi yang sedang fokus menangani bantuan untuk korban Gempa dan Tsunami di Palu Donggala dan sekitarnya. Narasi mereka Dibohongi Ratna Sarumpaet saja kita tidak terima apalagi dibohongi pemimpin ,2.0,-22,negative
Posko Bantuan Kemanusiaan korban Gempa dan Tsunami Palu dan Donggala untuk Wilayah Kab. Takalar di pusatkan di Makodim 1426/Takalar dari berbagai instansi dan masyarakat sangat antusias dalam mengumpulkan bantuan kemanusiaan dibantu oleh anggota Kodim 1426/Takalar. https://t.co/YhkXGCkJWp,2.0,-5,negative
@Airin_NZ @hanumrais @Sarah_Pndj @RizmaWidiono @P3nj3l4j4h @muannas_alaidid @HusinShihab @CH_chotimah @ApriliaLin @04Nakula Saat negara dalam kondisi berduka mereka tetep menyebar hoax. Mental mereka seperti para penjarah korban gempa Palu itu. Semoga polisi segera mengusut perbuatan fitnah mereka...,2.0,-6,negative
Marsha Timothy Ikut Prihatin Atas Bencana Gempa Di Palu https://t.co/k4Qq4ofAN4,1.0,0,neutral
@bangsa_pahlawan Biarkan beliau bekerja Merapi kan bekas musibah gempa dan Sunami di Palu dan Donggala... Capres di Jakarta sibuk konpres minta maaf atas kecerobohan nya....,1.0,-10,negative
@RestyCayah @LisaAmartaTara @Fsetu Ooo... Dia oknun Kemenkominfo yg tebar framing negatif perihal peran @Informasi_FPI @Intel_FPI di Gempa Palu/Donggala ya..?,2.0,0,neutral
Di dalam grup pada ribut beragumen yang dihubungkan dengan kejadian Gempa &amp; Tsunami di Donggala dan Palu Sulawesi Tengah. Yang bikin ngakak mereka percaya aja kalau gambar iluminati itu ada di Palu dan akan di resmikan. Namun saat akan diresmikan malah kena bencana ...,2.0,-18,negative
==ITS Peduli Palu== Bapak/Ibu sekalian yang kami hormati Bencana alam gempa bumi dan tsunami yang telah menimpa saudara kita di Palu Sulawesi Tengah telah meninggalkan duka yang https://t.co/Wqi5Ji9gwP,1.0,-18,negative
I liked a @YouTube video https://t.co/FDtC4ptYN0 'Saya Boleh Ikut Tidak' Tanya Bocah yang Ibunya Meninggal karena Gempa Palu kepada,2.0,-8,negative
Cerita Haru Jokowi Temui Bocah Pemberani Korban Gempa Palu: Ada sepenggal momen haru dan sedih ketika Presiden Joko Widodo (Jokowi) mengunjungi lokasi gempa di Palu Sulawesi Tengah. https://t.co/430r6EIl9F https://t.co/hZAs9f6kui,1.0,-1,negative
@null Cerita Haru Jokowi Temui Bocah Pemberani Korban Gempa Palu Ada sepenggal momen h https://t.co/uypXd7czuJ,1.0,0,neutral
Cerita Haru Jokowi Temui Bocah Pemberani Korban Gempa Palu https://t.co/k8bml7HWAJ https://t.co/OiFBUeeJ1z,1.0,0,neutral
[Foto https://t.co/527SUVGthv] Presiden @jokowi meninjau lokasi reruntuhan desa &amp; penanganan para korban terdampak gempa di Petobo Palu Selatan (3/10) #JokowiTanganiGempaSulteng #JokowiBersamaRakyat #JokowiCintaRakyat #United4Palu #BersatuUntukSulteng #BersamaUntukSulawesi https://t.co/gkKrSka8pk,1.0,3,positive
@ratnadewikw @kaesangp Mas mungkin akan sangat mulia klu dibuatkan kue pisang dlm jumlah yg banyak untuk para pengungsi korban gempa bumi di palu dan sekitarnya....,1.0,-1,negative
@Ronnie_Rusli Harus diproses hukum dong. Dia bikin hoax dan dampaknya se-Indonesia jadi gaduh. Yg lebih parah dia merugikan dan mempermalukan kubu Prabowo-Sandi juga mengalihkan perhatian kita dari gempa tsunami di Palu.,2.0,-12,negative
Motor Tetangga Selamatkan Fitria dan Keluarga dari Gempa Palu... - https://t.co/Qh50antEt0 https://t.co/XzvXNFRwHG,1.0,-3,negative
 Ogah ah nyumbang korban gempa dan tsunami di Palu. Mending uangnya buat oplas aja. - Ratna,2.0,1,positive
jutaan doa buat korban gempa sunami palu dan donggala.,1.0,1,positive
[Foto https://t.co/XMHgdSLZVT] Presiden @jokowi meninjau lokasi reruntuhan desa &amp; penanganan para korban terdampak gempa di Petobo Palu Selatan (3/10) #JokowiTanganiGempaSulteng #JokowiBersamaRakyat #JokowiCintaRakyat #United4Palu #BersatuUntukSulteng #BersamaUntukSulawesi https://t.co/Jj7bQ2GMDL,1.0,3,positive
Hari Kelima Pasca Gempa Sebagian Lampu Jalan di Palu Sudah menyala https://t.co/mokwyJMLAz lewat @makassarterkini,1.0,-3,negative
*ALIANSI KALBAR PEDULI* Gempa dan Tsunami Donggala-Palu *Donasi Berupa* Uang Tunai/Non-Tunai. Pakaian Layak Pakai. Sembako (yg Tahan ±1 Bulan). Transfer: REKENING BNI https://t.co/P5CiS7J3DQ,1.0,0,neutral
Jumlah fasilitas MCK di berbagai lokasi terdampak gempa dan tsunami di Palu dan Donggala sangat terbatas. Jika persoalan sanitasi tak segera ditangani para pengungsi dikhawatirkan terjangkit berbagai wabah penyakit #PrayforPalu #PrayforDonggala https://t.co/ecI5YxN0hR,2.0,-4,negative
Detail Banget Citra Satelit Wilayah Palu Sebelum dan Setelah Gempa https://t.co/ASUwCCJNlp,2.0,0,neutral
BBM Datang Pasca Gempa Tentara Jaga SPBU di Seluruh Palu https://t.co/OdPmHtBmQj https://t.co/xOLcSAMI64,1.0,0,neutral
Dua Korban Gempa Palu Melahirkan di Atas Kapal https://t.co/nWMa0bh1zu,2.0,0,neutral
@kompascom Kalo kubu Jokowi ini yg melakukan langsung rombongan Fadli Zon akan membuat gerakan pemakzulan Presiden dan demonstrasi berjilid jilid chaos terjadi dan akhirnya kubu mereka menjadi penguasa. Pemerintah lagi fokus penanganan musibah gempa dan tsunami di palu dibilang pencitraan,2.0,-1,negative
IMARET buka klinik 30 minit dari Pusat Gempa Palu https://t.co/Hi7jGqEIx1 https://t.co/4ia0mUAaUn,1.0,-3,negative
Ginian digoreng terus. Bagus klean bertindak lebih utk Palu. Dampak &amp; korbannya lebih besar dari Gempa Lombok.,1.0,-3,negative
PMII kebumen menylenggarakan mengumpulkan donasi utk korban gempa&amp;tsunami di Donggala ...Palu....Sulteng,1.0,-1,negative
@5Y5_one_70 Dan pak @prabowo meminta maaf. Huuuhh....hari ini orang Indonesia banyak yg minta maaf. Semoga banyak yg Istighfar juga krn gempa Palu...,1.0,4,positive
[VIDEO] Polisi Tangkap 4 Penyebar Hoaks Pasca Gempa Palu https://t.co/XOTGVapi8A https://t.co/ZfsUpi1Ew2,2.0,0,neutral
@VIVAcoid Hahahaha... Klo FPI yg membantu menangani korban gempa palu dibilang hoax sama penguasa...,2.0,-2,negative
@angguncita Ini Dek 1. PEMETAAN INFRASTRUKTUR TERDAMPAK GEMPA DI KOTA PALU https://t.co/cSecHMVn1U 2. PEMETAAN INFRASTRUKTUR TERDAMPAK GEMPA KABUPATEN DONGGALA https://t.co/utmvZG8OgG,2.0,0,neutral
@AkunTofa Dan gagalnya urus gempa palu sampe marak penjarahan. Bakal bisu sampe 30 hari 60 malam.,2.0,2,positive
Pastikan Pelayanan Korban Gempa Efektif Menko Polhukam Tetap Bertahan di Palu https://t.co/cUiZ3MGmuO,1.0,0,neutral
Yess.... Terus berjuang pak sampai hukum ditegakkan... Saya gemes banget mereka tega disaat Indonesia berduka dengan korban gempa di palu dan presiden @jokowi sedang fokus bekerja sempet2 nya bikin fitnah dan rusuh,1.0,-17,negative
Kisah Heroik Petugas ATC Bandara Palu Saat Terjadi Gempa 7 4 SR https://t.co/SDg3MitUI6 https://t.co/3sPKy2FQp0,1.0,0,neutral
Apple Donasikan Rp 15 Miliar untuk Korban Gempa Palu - Donggala https://t.co/dVaAZKvFBA,1.0,0,neutral
Alhamdulillah bantuan para donatur yatim mandiri sudah dikirim dan sudah masuk di wilayah bencana gempa dan tsunami palu dan donggala Semoga bantuan para donatur dapat meringankan beban para korban bencana.... https://t.co/kTboXJn7mS,1.0,1,positive
Berita Kawanua - Tiba di Palu Tim Kemanusiaan Pemkab Bolmong Disambut Gempa https://t.co/JhjfufrT6r,1.0,0,neutral
Bencana gempa dan tsunami terjadi diluar kendali kita. Yang ada dalam kendali kita adalah sikap kita dalam menghadapi musibah tersebut. Semoga saudara kita di Donggala dan Palu diberi kesabaran dan ketabahan. #PrayForPalu #PrayForDonggala https://t.co/e8MN8r4PLF,2.0,16,positive
Assalamualaiakum sebelumnya saya mau mengucapkan terima kasih kepada teman teman sekalian yang sudah mendoakan sejak Palu di landa gempa dan tsunami.,1.0,7,positive
Belajar dari gempa Palu: Indonesia betul-betul butuh sistem logistik kedaruratan bencana https://t.co/dWjcAlso5h via @ConversationIDN,2.0,-13,negative
Langsung sedih ketika di explore IG yg isinya cm foto nenek2 bukan foto gempa palu pliss situ tau kan mana berita yg lebih penting ??,2.0,-6,negative
@chicohakim @RatnaSpaet Mereka berhasil 1. Membuat panggung sendiri setelah beberapa saat merasa ga kebagian slot krn berita gempa Palu 2. Menggiring opini bahwa Polri tdk bisa dipercaya (tdk lapor krn trauma katanya) 3. Narasi menjadi korban padahal sebaliknya merekalah dalangnya Ada yg bisa namabahin?,2.0,-5,negative
Ratusan bangunan Kota Palu yang semula berdiri tegak kini telah berubah menjadi reruntuhan pasca gempa dan tsunami. - Tak ayal pemandangan Ibu Kota Sulawesi Tengah saat ini nampak https://t.co/5fLI3rDL9W,2.0,1,positive
Festival amal kerapan sapi betina gili raja donasi untuk korban gempa dan tsunami di palu sigi dan donggala https://t.co/dCF9fIxeYj #PemudaGiatWisataGiliRaja merasa semangat baru di Gili Raja https://t.co/EZHkvD74Dh,1.0,0,neutral
@fadlizon Bang @fadlizon masa gak tau sih ke napa pemerintah tdk mau menetapkan status bencana nasional di gempa Lombok dan Palu. Sbb BENCANA NASIONAL sesungguhnya sdh di tetapkan sejak Oktober 2014 dimana saat itu orang planga-plongo dilantik jadi pemimpin berdasar pilpres yg curang,1.0,-12,negative
Balikpapan Ditetapkan sebagai Daerah Penanggulangan Gempa dan Tsunami di Palu - Tribun Kaltim https://t.co/6ouy1dKkiZ,1.0,-3,negative
Bencana gempa dan tsunami terjadi diluar kendali kita. Yang ada dalam kendali kita adalah sikap kita dalam menghadapi musibah tersebut. Semoga saudara kita di Donggala dan Palu diberi kesabaran dan ketabahan. #PrayForPalu #PrayForDonggala https://t.co/dRKq31qtf1 https://t.co/yaB5MLZZXS,2.0,16,positive
@AndiArief__ @JudasIsckariot @RatnaSpaet Mari kita tinggalkan para pembohong kembali fokus gempa palu..,2.0,0,neutral
@Teguhan63119599 @nikkoilham Kirain selamat dari gempa palu hehe,1.0,6,positive
tribun_video: 'Saya Boleh Ikut Tidak?' Tanya Bocah yang Ibunya Meninggal karena Gempa Palu kepada Presiden Jokowi https://t.co/TDOrD5nXTq,2.0,-8,negative
[Foto https://t.co/527SUVGthv] Pres. @jokowi melanjutkan peninjauan lokasi terdampak gempa &amp; tsunami Hotel Roa-Roa Palu 3 Okto 2018 #JokowiTanganiGempaSulteng #JokowiBersamaRakyat #JokowiCintaRakyat #United4 #GerakCepatUntukPalu #BersatuUntukSulteng #BersamaUntukSulawesi https://t.co/Aw1nISMUY2,1.0,4,positive
[Foto https://t.co/XMHgdSLZVT] Pres. @jokowi melanjutkan peninjauan lokasi terdampak gempa &amp; tsunami Hotel Roa-Roa Palu 3 Okto 2018 #JokowiTanganiGempaSulteng #JokowiBersamaRakyat #JokowiCintaRakyat #United4 #GerakCepatUntukPalu #BersatuUntukSulteng #BersamaUntukSulawesi https://t.co/xc3KwBLrA1,1.0,4,positive
Namanya pak Luji. Rumah beliau hancur karena gempa di dusun Tangga Selengen Lombok Utara. Pak Luji keliling mengumpulkan sumbangan untuk korban gempa di Palu. Dalam dukanya mereka masih memperhatikan orang lain. https://t.co/xeYtOWnqdh,2.0,4,positive
Bantu Tangani Gempa Palu Malaysia Kirim Pesawat Airbus A400M https://t.co/lfPv4S5NLc,1.0,0,neutral
Kak minta doanya buat saudara di Palu dan Donggala yg baru kena musibah gempa dan tsunami Amin inshallah allah angkat derajat mereka dan allah ganti dngm yg lebih baik https://t.co/qfY6TqX61g,1.0,17,positive
Bagi teman2 Slankers-Slanky yg ingin menyalurkan sumbangannya untuk Korban Bencana Gempa &amp; Tsunami Palu-Donggala bisa dibawa langsung ke Warkop 77 (Beskeng) di Jl. S. Hasanuddin (samping Kodim) Pandang-Pandang Kab. Gowa. https://t.co/uM2eWexBom,1.0,3,positive
Merenungi gempa di palu donggala bagaimana kalo terjadi dgn kita??sabar saudaraku...,2.0,7,positive
Korban Gempa Donggala-Palu Asal Garut Pulang Kampung https://t.co/Qsm17qo6P7,2.0,0,neutral
Ya Allah swt doakan presiden kami pak @jokowi mengemban amanah untuk segera membantu para korban gempa dan tsunami di Palu Donggala. Amiennn #2019JokowiKyaiMaruf,1.0,10,positive
IMARET buka klinik 30 minit dari pusat gempa Palu https://t.co/AQlKqCtoTv https://t.co/7gygdJSx1v,1.0,4,positive
 DESIGN DAKWAH 155 MUJAHID DAKWAH COM MUSIBAH TERJADI KARENA PERBUATAN MANUSIA ************ #Save_Palu #Gempa_Bumi #Pray_For_Palu #Tolak_Kesyirikan #Tolak_LGBT #muhajiddakwahcom https://t.co/NdmpbezpV3,2.0,0,neutral
TNI AD bangun kerjasama dengan BUMN Salurkan Bantuan Peduli Korban Gempa Palu Sigi dan Donggala https://t.co/SMSA8oQjzw https://t.co/4DmbQcZESJ,1.0,3,positive
 DESIGN DAKWAH 154 MUJAHID DAKWAH COM JALAN KESELAMATAN ************ #Save_Palu #Gempa_Bumi #Pray_For_Palu #Tolak_Kesyirikan #Tolak_LGBT #muhajiddakwahcom #mujahidislam https://t.co/e23W9IJjhd,2.0,0,neutral
 DESIGN DAKWAH 153 MUJAHID DAKWAH COM AKHLAK MULIA ************ #Save_Palu #Gempa_Bumi #Pray_For_Palu #Tolak_Kesyirikan #Tolak_LGBT #muhajiddakwahcom #mujahidislam https://t.co/Z3ra7SQG1Y,2.0,0,neutral
Kerusakan parah juga terjadi di Kampung Wani 2 Kecamatan Tanatopea Kabupaten Donggala Sulawesi Tengah akibat gempa Donggala dan tsunami Palu Sulawesi Tengah pada Jumat (28/9/2018). https://t.co/yaFPTajrek,2.0,-3,negative
 DESIGN DAKWAH 152 MUJAHID DAKWAH COM TENGGELAM DISA DI DUNIA BANJIR KERINGAT DIAKHIRAT ************ #Save_Palu #Gempa_Bumi #Pray_For_Palu #Tolak_Kesyirikan #Tolak_LGBT https://t.co/GlR3DD7OwY,2.0,0,neutral
@mahlukbumii @RezkyIchwal1 @fadlizon @jokowi Hoax apaan? Lha emang FPI jauh sblm gempa udah ada di Palu mlh bikin kantor segala...,2.0,1,positive
Doa utk Donggala palu Innalillahi Wainnailaihi Rojiun Gempa dan Tsunami Lindungi saudara kami di Palu ya Allah https://t.co/P2YDdOEg0G,1.0,4,positive
Stasiun pengamatan pasut BIG di Pelabuhan Pantoloan Palu ternyata tidak rusak dan masih bisa beroperasi. Jadi terhentinya aliran data saat gempa diakibatkan karena rusak/terganggu nya jaringan komunikasi saat tersebut. https://t.co/S9n6aaXTyp,1.0,-11,negative
Fitria yang sudah 10 bulan menetap di Kota Palu untuk mengikuti suaminya tidak menyangka ikut merasakan dahsyatnya gempa Sulawesi Tengah. https://t.co/8L5Zt0vRTW,2.0,-3,negative
Mendagri Imbau Korban Gempa Palu Gotong Royong Soal Makanan https://t.co/48Uoxmt5sE https://t.co/YnCJ2d3nWR,1.0,0,neutral
Penanganan Bencana Gempa Palu yang Dirumitkan Aksi Penjarahan https://t.co/8M4r3X90Cw,2.0,-5,negative
Polres Lutim Buka Posko Penampungan Bantuan Korban Gempa Palu https://t.co/PpvxVcyC7Z https://t.co/OHkxTMLHcm,1.0,0,neutral
Yg pnya point di tokped atau cashback yg g https://t.co/Has66Wkidh di sumbangkan ke korban gempa bumi palu tuh lumahan tuk meringakan beban saudar2 qta di sana,1.0,-5,negative
Semua mata dan perhatian kita sedang tertuju pada musibah gempa dan tsunami di palu eh ini si nenek sibuk buat hoax dan tolol nya lagi si kardus percaya aja tuh dasar bintang kardus.....,2.0,-13,negative
Terima kasih Pak @jokowi atas pengertiannya Utk membantu korban gempa Palu dan Donggala pemerintah telah menyiapkan 30 helikopter hingga kapal pesiar. Begitu istimewanya lintah darat bagi rezim jkw shg penyambutannya luar biasa #2019GantiPresiden https://t.co/TAlohfU6bK,1.0,-11,negative
Kunjungan Ke Korban Gempa Dan Tsunami Palu-Donggala Tak Ada Muatan Politik https://t.co/lB0lM5n8Bo,1.0,0,neutral
PC PMII Asahan-Tanjungbalai Kumpulkan Rp10 Juta untuk Bantu Korban Gempa dan Tsunami di Palu https://t.co/m9FFGQA56l https://t.co/lLk39kVDxA,1.0,0,neutral
@GusIpul_ID Yung Allah Gus suwe ora metu metu pisan nylathu. Ada gempa Lombok dan Palu membisu paling malah mbatin Sing Kuoso mbales no loro ati ku. ,2.0,-2,negative
Surabaya Jadi Tujuan Sementara Pengungsi Gempa Palu https://t.co/B3sKvW2T1l https://t.co/k8T7NaAxFD,1.0,0,neutral
Renungan Hati - Doa di Pagi Hari (Reflekasi gempa &amp; tsunami Palu - Donggala): https://t.co/0LKmhPgXin via @YouTube,1.0,4,positive
 Tega banget kalian ketawa terhadap perempuan tua yang dihajar sampai bonyok begitu Then Tega banget kalian memakai isu hoax sampah murahan di tengah kondisi rakyat Palu dan Donggala yang sedang menderita karena gempa dan tsunami ,2.0,-21,negative
Kisah Pilu Pengungsi Korban Gempa dan Tsunami Palu https://t.co/CU91qKbGCF,2.0,0,neutral
Seorang Habib Beralas Tikar di Barak Kawasan Terparah Gempa Palu https://t.co/VL9heblzI8,2.0,0,neutral
5 Bulan Sebelum di Terjang Gempa dan Tsunami Aktifis Anti LGBT Sebut LGBT di Palu Meningkat Tajam https://t.co/dL87D1xlEV,2.0,0,neutral
Situasi Dapur Umum di Salah Satu Posko Pengungsian gempa tsunami Palu Sulawesi Tenggah https://t.co/tVqNmCAaf1 https://t.co/RNfcr3Ufqd,1.0,4,positive
Presiden Jokowi Minta Distribusi Logistik Untuk Korban Gempa di Palu Diperbaiki https://t.co/K8Z9GaSKvr https://t.co/StnczBNHmr,1.0,0,neutral
After all the headline #ripharinggasirila then #likuifaksi gempa Palu and salma's opung. Tetep yg menjadi perhatian kheuseus banyak temen-temen daftar jadi caleg ya? Hihihi selamat berjuang!,2.0,10,positive
Kemenkes: Belasan Jenazah Korban Gempa Palu Belum Dimakamkan https://t.co/Emm6ESqm0Z,2.0,0,neutral
Gelar Sholat Gaib Dan Galan Dana PC PMII Kediri Peduli Korban Gempa Palu Donggala https://t.co/hU3htsyaaW https://t.co/bkUt6p46HM,1.0,0,neutral
[Foto https://t.co/527SUVGthv] Setibanya di Bandara Mutiara Sis Al-Jufri Kota Palu Presiden @jokowi langsung mengunjungi korban gempa &amp; tsunami yg dirawat di rumah sakit darurat yg berada di bandara (3/10) #JokowiTanganiGempaSulteng #JokowiBersamaRakyat #JokowiCintaRakyat https://t.co/ufnLzpnV1U,1.0,2,positive
[Foto https://t.co/XMHgdSLZVT] Setibanya di Bandara Mutiara Sis Al-Jufri Kota Palu Presiden @jokowi langsung mengunjungi korban gempa &amp; tsunami yg dirawat di rumah sakit darurat yg berada di bandara (3/10) #JokowiTanganiGempaSulteng #JokowiBersamaRakyat #JokowiCintaRakyat https://t.co/RcsOxgPBXZ,1.0,2,positive
Bayi Korban Gempa Palu Lahir di Bontang - https://t.co/pjGXgK0DPf https://t.co/jFypbgRROE,1.0,0,neutral
#repost : @explorehumanity.id Drone Footage Video aerial kerusakan akibat dampak gempa dan tsunami Palu. Tampak pula kerusakan jembatan yang menjadi ikon kota Palu jembatan Ponulele di muara sungai. Masih banyak... https://t.co/3a22ffzACJ,2.0,-11,negative
Gelar Sholat Gaib Dan Galan Dana PC PMII Kediri Peduli Korban Gempa Palu Donggala - https://t.co/1rS2ENlckf via @Shareaholic,1.0,0,neutral
Order CAN (Calligraphy of Arabic Can) berarti sudah berdonasi untuk Korban Gempa dan Tsunami di DONGGALA &amp; PALU. Cukup bayar 75% dari Harga Aslinya. Sisanya 25% di donasikan ke PALU &amp; https://t.co/ivIkasbSpq,1.0,-3,negative
Peduli Sulawesi Tengah Gempa &amp; Tsunami Palu Puluhan ribu kehilangan tempat tinggal dan mengungsi . Salurkan kepedulian Anda melalui rekening kemanusiaan https://t.co/sXLLPUIFNg,2.0,-8,negative
